,instance,method,goals_visited,path_length,num_points,runtime,valid,number_goal_points,number_start_points,number_end_points,instance_number
0,instance_003,greedy,3,1972.511,5,0.0001,1,5,4,4,instance_003
1,instance_001,greedy,3,1847.035,5,0.0002,1,8,2,2,instance_001
2,instance_002,greedy,3,1759.288,5,0.0002,1,8,4,4,instance_002
3,instance_004,hybrid,0,554.658,2,0.0001,1,8,2,4,instance_004
4,instance_003,local,3,1972.511,5,0.0001,1,5,4,4,instance_003
5,instance_004,beam,4,1657.656,6,0.0004,1,8,2,4,instance_004
6,instance_002,local,3,1759.288,5,0.0002,1,8,4,4,instance_002
7,instance_001,local,3,1847.035,5,0.0002,1,8,2,2,instance_001
8,instance_004,local,0,554.658,2,0.0001,1,8,2,4,instance_004
9,instance_003,hybrid,3,1972.511,5,0.0001,1,5,4,4,instance_003
10,instance_001,beam,4,1447.594,6,0.0005,1,8,2,2,instance_001
11,instance_001,annealing,0,0.0,0,0.0007,0,8,2,2,instance_001
12,instance_004,greedy,0,554.658,2,0.0001,1,8,2,4,instance_004
13,instance_002,hybrid,3,1759.288,5,0.0002,1,8,4,4,instance_002
14,instance_001,hybrid,3,1847.035,5,0.0002,1,8,2,2,instance_001
15,instance_003,annealing,0,0.0,0,0.0002,0,5,4,4,instance_003
16,instance_003,beam,4,1593.238,6,0.0005,1,5,4,4,instance_003
17,instance_004,annealing,0,0.0,0,0.0004,0,8,2,4,instance_004
18,instance_002,annealing,0,0.0,0,0.0012,0,8,4,4,instance_002
19,instance_002,beam,4,1900.835,6,0.0015,1,8,4,4,instance_002
20,instance_005,greedy,3,1988.027,5,0.0001,1,4,4,3,instance_005
21,instance_005,beam,3,1148.234,5,0.0002,1,4,4,3,instance_005
22,instance_005,local,3,1988.027,5,0.0002,1,4,4,3,instance_005
23,instance_006,greedy,2,1206.779,4,0.0001,1,3,2,2,instance_006
24,instance_005,hybrid,3,1988.027,5,0.0001,1,4,4,3,instance_005
25,instance_006,beam,3,1293.622,5,0.0001,1,3,2,2,instance_006
26,instance_006,local,2,1206.779,4,0.0001,1,3,2,2,instance_006
27,instance_005,annealing,0,0.0,0,0.0011,0,4,4,3,instance_005
28,instance_006,annealing,0,0.0,0,0.0002,0,3,2,2,instance_006
29,instance_006,hybrid,2,1206.779,4,0.0001,1,3,2,2,instance_006
30,instance_007,greedy,4,1666.708,6,0.0001,1,8,4,2,instance_007
31,instance_007,beam,4,1832.783,6,0.0004,1,8,4,2,instance_007
32,instance_008,greedy,3,1792.366,5,0.0001,1,5,2,4,instance_008
33,instance_007,hybrid,4,1666.708,6,0.0002,1,8,4,2,instance_007
34,instance_008,beam,3,1792.366,5,0.0002,1,5,2,4,instance_008
35,instance_007,annealing,0,0.0,0,0.0005,0,8,4,2,instance_007
36,instance_008,hybrid,3,1792.366,5,0.0001,1,5,2,4,instance_008
37,instance_008,local,3,1792.366,5,0.0001,1,5,2,4,instance_008
38,instance_009,greedy,3,1838.758,5,0.0001,1,4,2,4,instance_009
39,instance_008,annealing,0,0.0,0,0.0004,0,5,2,4,instance_008
40,instance_007,local,4,1666.708,6,0.0002,1,8,4,2,instance_007
41,instance_009,beam,3,1838.758,5,0.0002,1,4,2,4,instance_009
42,instance_009,local,3,1838.758,5,0.0001,1,4,2,4,instance_009
43,instance_009,hybrid,3,1838.758,5,0.0001,1,4,2,4,instance_009
44,instance_009,annealing,0,0.0,0,0.0003,0,4,2,4,instance_009
45,instance_010,greedy,2,949.29,4,0.0001,1,7,3,2,instance_010
46,instance_010,local,2,949.29,4,0.0001,1,7,3,2,instance_010
47,instance_010,hybrid,2,949.29,4,0.0001,1,7,3,2,instance_010
48,instance_010,beam,5,1848.211,7,0.0004,1,7,3,2,instance_010
49,instance_010,annealing,0,0.0,0,0.0005,0,7,3,2,instance_010
50,instance_011,greedy,5,1695.251,7,0.0003,1,16,3,3,instance_011
51,instance_012,greedy,4,1667.386,6,0.0003,1,17,2,2,instance_012
52,instance_011,local,5,1695.251,7,0.0005,1,16,3,3,instance_011
53,instance_011,hybrid,5,1695.251,7,0.0004,1,16,3,3,instance_011
54,instance_012,local,4,1667.386,6,0.0003,1,17,2,2,instance_012
55,instance_012,beam,5,1876.068,7,0.0009,1,17,2,2,instance_012
56,instance_011,annealing,0,0.0,0,0.0014,0,16,3,3,instance_011
57,instance_011,beam,7,1873.37,9,0.0019,1,16,3,3,instance_011
58,instance_012,annealing,0,0.0,0,0.002,0,17,2,2,instance_012
59,instance_013,greedy,0,519.562,2,0.0003,1,17,2,3,instance_013
60,instance_012,hybrid,4,1667.386,6,0.0004,1,17,2,2,instance_012
61,instance_013,local,0,519.562,2,0.0003,1,17,2,3,instance_013
62,instance_013,annealing,0,0.0,0,0.0005,0,17,2,3,instance_013
63,instance_013,hybrid,0,519.562,2,0.0003,1,17,2,3,instance_013
64,instance_014,greedy,4,1967.139,6,0.0003,1,17,4,3,instance_014
65,instance_013,beam,4,1952.053,6,0.0007,1,17,2,3,instance_013
66,instance_014,beam,8,1982.31,10,0.0017,1,17,4,3,instance_014
67,instance_014,annealing,0,0.0,0,0.0007,0,17,4,3,instance_014
68,instance_014,local,4,1834.335,6,0.0003,1,17,4,3,instance_014
69,instance_014,hybrid,4,1834.335,6,0.0003,1,17,4,3,instance_014
70,instance_015,greedy,5,1743.973,7,0.0002,1,11,4,3,instance_015
71,instance_015,local,5,1743.973,7,0.0004,1,11,4,3,instance_015
72,instance_016,greedy,0,599.093,2,0.0003,1,12,3,3,instance_016
73,instance_015,hybrid,5,1743.973,7,0.0004,1,11,4,3,instance_015
74,instance_015,beam,6,1419.072,8,0.0011,1,11,4,3,instance_015
75,instance_016,local,0,599.093,2,0.0003,1,12,3,3,instance_016
76,instance_016,hybrid,0,599.093,2,0.0003,1,12,3,3,instance_016
77,instance_016,beam,0,599.093,2,0.0016,1,12,3,3,instance_016
78,instance_017,greedy,7,1946.423,9,0.0008,1,19,4,2,instance_017
79,instance_015,annealing,0,0.0,0,0.0021,0,11,4,3,instance_015
80,instance_017,local,7,1946.423,9,0.0009,1,19,4,2,instance_017
81,instance_016,annealing,0,0.0,0,0.0017,0,12,3,3,instance_016
82,instance_017,hybrid,7,1946.423,9,0.0008,1,19,4,2,instance_017
83,instance_018,greedy,5,1907.544,7,0.0004,1,11,3,5,instance_018
84,instance_017,beam,10,1859.612,12,0.0037,1,19,4,2,instance_017
85,instance_017,annealing,0,0.0,0,0.0036,0,19,4,2,instance_017
86,instance_018,local,5,1907.544,7,0.0004,1,11,3,5,instance_018
87,instance_018,beam,6,1575.494,8,0.0013,1,11,3,5,instance_018
88,instance_018,hybrid,5,1907.544,7,0.0004,1,11,3,5,instance_018
89,instance_018,annealing,0,0.0,0,0.0013,0,11,3,5,instance_018
90,instance_019,greedy,5,1688.244,7,0.0003,1,12,4,3,instance_019
91,instance_019,beam,5,1688.244,7,0.0008,1,12,4,3,instance_019
92,instance_019,local,5,1677.765,7,0.0004,1,12,4,3,instance_019
93,instance_019,annealing,0,0.0,0,0.0007,0,12,4,3,instance_019
94,instance_019,hybrid,5,1677.765,7,0.0004,1,12,4,3,instance_019
95,instance_020,greedy,6,1935.699,8,0.0004,1,16,3,5,instance_020
96,instance_020,beam,6,1717.327,8,0.0012,1,16,3,5,instance_020
97,instance_020,annealing,0,0.0,0,0.0012,0,16,3,5,instance_020
98,instance_020,local,6,1935.699,8,0.0003,1,16,3,5,instance_020
99,instance_020,hybrid,6,1935.699,8,0.0005,1,16,3,5,instance_020
100,instance_021,greedy,6,1935.075,8,0.0003,1,15,5,4,instance_021
101,instance_021,local,6,1863.051,8,0.0008,1,15,5,4,instance_021
102,instance_022,greedy,3,1938.802,5,0.0002,1,10,5,3,instance_022
103,instance_021,hybrid,6,1863.051,8,0.0007,1,15,5,4,instance_021
104,instance_021,beam,6,1917.525,8,0.0021,1,15,5,4,instance_021
105,instance_022,annealing,0,0.0,0,0.0003,0,10,5,3,instance_022
106,instance_021,annealing,0,0.0,0,0.0024,0,15,5,4,instance_021
107,instance_022,local,3,1685.81,5,0.0001,1,10,5,3,instance_022
108,instance_022,beam,4,1631.891,6,0.001,1,10,5,3,instance_022
109,instance_022,hybrid,3,1685.81,5,0.0001,1,10,5,3,instance_022
110,instance_023,greedy,3,1701.272,5,0.0001,1,12,3,5,instance_023
111,instance_023,beam,3,1677.658,5,0.0007,1,12,3,5,instance_023
112,instance_023,annealing,0,0.0,0,0.0004,0,12,3,5,instance_023
113,instance_023,local,3,1677.658,5,0.0003,1,12,3,5,instance_023
114,instance_023,hybrid,3,1677.658,5,0.0003,1,12,3,5,instance_023
115,instance_024,greedy,6,1971.927,8,0.0006,1,18,2,4,instance_024
116,instance_024,local,6,1923.145,8,0.0008,1,18,2,4,instance_024
117,instance_024,hybrid,6,1923.145,8,0.001,1,18,2,4,instance_024
118,instance_024,beam,6,1971.927,8,0.0032,1,18,2,4,instance_024
119,instance_025,greedy,8,1956.24,10,0.0007,1,14,3,5,instance_025
120,instance_025,local,8,1956.24,10,0.001,1,14,3,5,instance_025
121,instance_025,beam,7,1569.451,9,0.0029,1,14,3,5,instance_025
122,instance_025,hybrid,8,1956.24,10,0.0012,1,14,3,5,instance_025
123,instance_026,greedy,0,856.084,2,0.0016,1,26,5,6,instance_026
124,instance_026,annealing,0,0.0,0,0.002,0,26,5,6,instance_026
125,instance_026,local,0,856.084,2,0.0028,1,26,5,6,instance_026
126,instance_027,greedy,6,1497.735,8,0.0013,1,29,6,4,instance_027
127,instance_026,hybrid,0,856.084,2,0.0018,1,26,5,6,instance_026
128,instance_027,local,6,1497.735,8,0.0018,1,29,6,4,instance_027
129,instance_027,hybrid,6,1497.735,8,0.0018,1,29,6,4,instance_027
130,instance_027,annealing,0,0.0,0,0.0032,0,29,6,4,instance_027
131,instance_028,greedy,8,1879.138,10,0.0022,1,22,3,6,instance_028
132,instance_026,beam,10,1982.2,12,0.0104,1,26,5,6,instance_026
133,instance_028,local,8,1879.138,10,0.0019,1,22,3,6,instance_028
134,instance_028,hybrid,8,1879.138,10,0.002,1,22,3,6,instance_028
135,instance_029,greedy,8,1977.694,10,0.0033,1,21,4,5,instance_029
136,instance_027,beam,11,1992.923,13,0.0143,1,29,6,4,instance_027
137,instance_029,local,8,1968.218,10,0.0032,1,21,4,5,instance_029
138,instance_029,annealing,0,0.0,0,0.0047,0,21,4,5,instance_029
139,instance_028,annealing,0,0.0,0,0.0102,0,22,3,6,instance_028
140,instance_030,greedy,9,1739.452,11,0.0019,1,34,3,5,instance_030
141,instance_029,hybrid,8,1968.218,10,0.0043,1,21,4,5,instance_029
142,instance_030,local,9,1739.452,11,0.0027,1,34,3,5,instance_030
143,instance_030,hybrid,9,1739.452,11,0.0034,1,34,3,5,instance_030
144,instance_029,beam,8,1879.631,10,0.0127,1,21,4,5,instance_029
145,instance_031,greedy,0,567.145,2,0.0024,1,22,3,6,instance_031
146,instance_030,annealing,0,0.0,0,0.0128,0,34,3,5,instance_030
147,instance_031,local,0,567.145,2,0.0048,1,22,3,6,instance_031
148,instance_031,hybrid,0,567.145,2,0.0031,1,22,3,6,instance_031
149,instance_028,beam,8,1999.24,10,0.0304,1,22,3,6,instance_028
150,instance_030,beam,10,1861.349,12,0.0239,1,34,3,5,instance_030
151,instance_032,beam,9,1906.34,11,0.0089,1,25,3,6,instance_032
152,instance_032,hybrid,7,1925.258,9,0.002,1,25,3,6,instance_032
153,instance_032,annealing,0,0.0,0,0.0098,0,25,3,6,instance_032
154,instance_032,local,7,1925.258,9,0.0047,1,25,3,6,instance_032
155,instance_031,beam,13,1918.606,15,0.0239,1,22,3,6,instance_031
156,instance_033,greedy,0,198.879,2,0.0015,1,34,5,3,instance_033
157,instance_032,greedy,7,1925.258,9,0.0148,1,25,3,6,instance_032
158,instance_031,annealing,0,0.0,0,0.0211,0,22,3,6,instance_031
159,instance_033,local,0,198.879,2,0.0015,1,34,5,3,instance_033
160,instance_033,annealing,0,0.0,0,0.0021,0,34,5,3,instance_033
161,instance_033,hybrid,0,198.879,2,0.0027,1,34,5,3,instance_033
162,instance_034,greedy,6,1992.197,8,0.0016,1,30,3,3,instance_034
163,instance_034,local,6,1992.197,8,0.001,1,30,3,3,instance_034
164,instance_034,annealing,0,0.0,0,0.0017,0,30,3,3,instance_034
165,instance_035,greedy,9,1954.99,11,0.0015,1,30,4,3,instance_035
166,instance_035,local,9,1954.99,11,0.0023,1,30,4,3,instance_035
167,instance_034,hybrid,6,1992.197,8,0.0058,1,30,3,3,instance_034
168,instance_034,beam,8,1694.481,10,0.0107,1,30,3,3,instance_034
169,instance_036,greedy,0,153.17,2,0.0002,1,8,3,3,instance_036
170,instance_035,annealing,0,0.0,0,0.0105,0,30,4,3,instance_035
171,instance_036,beam,8,1799.804,10,0.0018,1,8,3,3,instance_036
172,instance_033,beam,8,1967.985,10,0.0187,1,34,5,3,instance_033
173,instance_036,annealing,0,0.0,0,0.0002,0,8,3,3,instance_036
174,instance_036,hybrid,0,153.17,2,0.0002,1,8,3,3,instance_036
175,instance_037,greedy,0,107.935,2,0.0006,1,11,2,2,instance_037
176,instance_035,hybrid,9,1954.99,11,0.005,1,30,4,3,instance_035
177,instance_037,annealing,0,0.0,0,0.0006,0,11,2,2,instance_037
178,instance_035,beam,11,1968.911,13,0.0137,1,30,4,3,instance_035
179,instance_036,local,0,153.17,2,0.0021,1,8,3,3,instance_036
180,instance_037,beam,0,107.935,2,0.003,1,11,2,2,instance_037
181,instance_037,hybrid,0,107.935,2,0.0006,1,11,2,2,instance_037
182,instance_037,local,0,107.935,2,0.0011,1,11,2,2,instance_037
183,instance_038,greedy,11,1430.928,13,0.0033,1,18,2,2,instance_038
184,instance_039,greedy,5,1122.612,7,0.0003,1,11,3,2,instance_039
185,instance_039,beam,5,1082.74,7,0.0012,1,11,3,2,instance_039
186,instance_038,local,11,1430.928,13,0.0063,1,18,2,2,instance_038
187,instance_039,annealing,0,0.0,0,0.0028,0,11,3,2,instance_039
188,instance_039,local,5,1082.74,7,0.0015,1,11,3,2,instance_039
189,instance_039,hybrid,5,1082.74,7,0.0015,1,11,3,2,instance_039
190,instance_038,hybrid,11,1430.928,13,0.0083,1,18,2,2,instance_038
191,instance_040,annealing,0,0.0,0,0.0022,0,15,2,3,instance_040
192,instance_040,greedy,6,1521.533,8,0.0058,1,15,2,3,instance_040
193,instance_040,beam,6,1521.533,8,0.0068,1,15,2,3,instance_040
194,instance_038,beam,12,1484.662,14,0.0162,1,18,2,2,instance_038
195,instance_040,local,6,1498.504,8,0.0085,1,15,2,3,instance_040
196,instance_024,annealing,7,1641.982,8,0.1047,0,18,2,4,instance_024
197,instance_041,greedy,6,1997.188,8,0.0003,1,7,2,2,instance_041
198,instance_041,local,6,1893.954,8,0.0014,1,7,2,2,instance_041
199,instance_041,beam,7,1725.729,9,0.0028,1,7,2,2,instance_041
200,instance_041,hybrid,6,1893.954,8,0.0013,1,7,2,2,instance_041
201,instance_042,greedy,5,1603.022,7,0.0008,1,14,3,2,instance_042
202,instance_042,beam,7,1726.739,9,0.002,1,14,3,2,instance_042
203,instance_040,hybrid,6,1498.504,8,0.0017,1,15,2,3,instance_040
204,instance_042,local,5,1598.72,7,0.0008,1,14,3,2,instance_042
205,instance_043,greedy,0,302.617,2,0.0002,1,12,3,3,instance_043
206,instance_042,hybrid,5,1598.72,7,0.0009,1,14,3,2,instance_042
207,instance_043,annealing,0,0.0,0,0.0005,0,12,3,3,instance_043
208,instance_043,local,0,302.617,2,0.0002,1,12,3,3,instance_043
209,instance_043,hybrid,0,302.617,2,0.0002,1,12,3,3,instance_043
210,instance_043,beam,6,1387.734,8,0.0045,1,12,3,3,instance_043
211,instance_044,annealing,0,0.0,0,0.0011,0,28,2,2,instance_044
212,instance_044,local,0,1107.522,2,0.0009,1,28,2,2,instance_044
213,instance_044,hybrid,0,1107.522,2,0.0009,1,28,2,2,instance_044
214,instance_044,greedy,0,1107.522,2,0.0068,1,28,2,2,instance_044
215,instance_045,greedy,11,1926.338,13,0.0057,1,19,2,2,instance_045
216,instance_044,beam,9,1997.676,11,0.0166,1,28,2,2,instance_044
217,instance_045,beam,11,1889.068,13,0.0106,1,19,2,2,instance_045
218,instance_045,hybrid,11,1923.693,13,0.0053,1,19,2,2,instance_045
219,instance_045,local,11,1923.693,13,0.0176,1,19,2,2,instance_045
220,instance_046,greedy,9,1971.029,11,0.0081,1,27,4,3,instance_046
221,instance_046,annealing,0,0.0,0,0.0067,0,27,4,3,instance_046
222,instance_046,beam,9,1971.029,11,0.0169,1,27,4,3,instance_046
223,instance_046,local,9,1949.523,11,0.0119,1,27,4,3,instance_046
224,instance_047,greedy,8,1246.664,10,0.0008,1,20,4,2,instance_047
225,instance_046,hybrid,9,1949.523,11,0.0074,1,27,4,3,instance_046
226,instance_047,beam,9,1967.454,11,0.0043,1,20,4,2,instance_047
227,instance_025,annealing,8,1956.24,10,0.1672,1,14,3,5,instance_025
228,instance_047,local,8,1006.947,10,0.0108,1,20,4,2,instance_047
229,instance_048,greedy,6,1991.687,8,0.0009,1,24,3,3,instance_048
230,instance_047,hybrid,8,1006.947,10,0.0153,1,20,4,2,instance_047
231,instance_048,annealing,0,0.0,0,0.0027,0,24,3,3,instance_048
232,instance_048,local,6,1991.687,8,0.0009,1,24,3,3,instance_048
233,instance_048,hybrid,6,1991.687,8,0.0087,1,24,3,3,instance_048
234,instance_049,greedy,0,158.644,2,0.0032,1,26,4,4,instance_049
235,instance_049,annealing,0,0.0,0,0.0025,0,26,4,4,instance_049
236,instance_048,beam,10,1894.852,12,0.0198,1,24,3,3,instance_048
237,instance_049,local,0,158.644,2,0.001,1,26,4,4,instance_049
238,instance_050,greedy,4,1136.627,6,0.0007,1,14,3,2,instance_050
239,instance_049,hybrid,0,158.644,2,0.0018,1,26,4,4,instance_049
240,instance_050,beam,4,1136.627,6,0.0009,1,14,3,2,instance_050
241,instance_050,annealing,0,0.0,0,0.0007,0,14,3,2,instance_050
242,instance_050,local,4,1121.72,6,0.0006,1,14,3,2,instance_050
243,instance_050,hybrid,4,1121.72,6,0.0007,1,14,3,2,instance_050
244,instance_049,beam,0,158.644,2,0.0092,1,26,4,4,instance_049
245,instance_051,greedy,4,1742.371,6,0.0003,1,14,4,2,instance_051
246,instance_051,beam,9,1920.856,11,0.0056,1,14,4,2,instance_051
247,instance_051,local,4,1730.003,6,0.0005,1,14,4,2,instance_051
248,instance_051,hybrid,4,1730.003,6,0.0004,1,14,4,2,instance_051
249,instance_052,greedy,0,601.332,2,0.0003,1,13,2,3,instance_052
